TimeStamp,Left_Pupil_Diameter,Right_Pupil_Diameter
4420345861,3.12518300,4.30453500
4420354192,3.19781500,4.23463400
4420362524,3.18048100,4.34378100
4420370855,3.11512800,4.21615600
4420379187,3.17361500,4.21206700
4420387518,3.21347000,4.29809600
4420395850,3.10200500,4.31245400
4420404181,3.19018600,4.34246800
4420412513,3.14727800,4.29867600
4420420844,3.24011200,4.35731500
4420429176,3.20343000,4.34561200
4420437507,3.21638500,4.27905300
4420445839,3.28340100,4.34483300
4420454170,3.37039200,4.41275000
4420462502,3.39447000,4.44455000
4420470834,3.49574300,4.41832000
4420479165,3.46998600,4.45613100
4420487497,3.37011700,4.21994000
4420495828,3.43460100,3.86377000
4420504160,3.21890300,3.08602900
4420512491,3.21913100,2.78396600
4420520823,2.40267900,1.69477800
4420529154,2.29429600,NaN
4420537486,2.45422400,NaN
4420545817,2.27914400,NaN
4420554149,NaN,NaN
4420562480,NaN,NaN
4420570812,2.33284000,NaN
4420579143,2.60453800,1.77562000
4420587475,2.55186500,2.29754600
4420595806,2.55477900,2.04145800
4420604138,2.57623300,2.63790900
4420612469,2.70286600,3.75117500
4420620801,3.51963800,4.03457600
4420629133,3.60684200,4.70178200
4420637464,3.33390800,4.78167700
4420645796,3.64859000,4.60276800
4420654127,3.42768900,4.95491000
4420662459,3.22302200,4.48074300
4420670790,3.32588200,4.37754800
4420679122,3.26887500,4.34132400
4420687453,3.23376500,4.56085200
4420695785,3.28564500,4.38488800
4420704116,3.25593600,4.38978600
4420712448,3.30314600,4.23890700
4420720779,3.33908100,4.29666100
4420729111,3.28422500,4.31079100
4420737442,3.34968600,4.36805700
4420745774,3.30485500,4.38896200
4420754105,3.28871200,4.36120600
4420762437,3.32565300,4.48774700
4420770768,3.20262100,4.40783700
4420779100,3.26707500,4.30899000
4420787431,3.28443900,4.42186000
4420795763,3.31306500,4.34152200
4420804095,3.38484200,4.36935400
4420812426,3.34477200,4.41183500
4420820758,3.39115900,4.40670800
4420829089,3.44227600,4.38502500
4420837421,3.39880400,4.43763700
4420845752,3.31332400,4.32159400
4420854084,3.29950000,4.38818400
4420862415,3.32092300,4.36927800
4420870747,3.31979400,4.27793900
4420879078,3.34417700,4.46965000
4420887410,3.36950700,4.53202800
4420895741,3.41484100,4.48736600
4420904073,3.33024600,4.49423200
4420912404,3.31446800,4.55302400
4420920736,3.29646300,4.45838900
4420929067,3.30598400,4.44754000
4420937399,3.39373800,4.51644900
4420945730,3.41949500,4.51515200
4420954062,3.41859400,4.48466500
4420962394,3.40138200,4.50344800
4420970725,3.36633300,4.46070900
4420979057,3.39009100,4.52377300
4420987388,3.43736300,4.42634600
4420995720,3.41220100,4.48646500
4421004051,3.46109000,4.48550400
4421012383,3.34552000,4.47338900
4421020714,3.37747200,4.54309100
4421029046,3.35450700,4.48989900
4421037377,3.41825900,4.48317000
4421045709,3.40727200,4.54153400
4421054040,3.47979700,4.60034200
4421062372,3.48014800,4.46241800
4421070703,3.43397500,4.53801000
4421079035,3.52807600,4.44226100
4421087366,3.41940300,4.49308800
4421095698,3.38208000,4.51341200
4421104029,3.24525500,4.62309300
4421112361,3.30664100,4.65673800
4421120692,3.30770900,4.62205500
4421129024,3.30926500,4.77195700
4421137356,3.32222000,4.76905800
4421145687,3.37678500,4.86709600
4421154019,3.43988000,4.76405300
4421162350,3.38275100,4.71855200
4421170682,3.47628800,4.78976400
4421179013,3.44354200,4.68487500
4421187345,3.42353800,4.65811200
4421195676,3.38494900,4.67878700
4421204008,3.29866000,4.59196500
4421212339,3.32937600,4.51649500
4421220671,3.28573600,4.48770100
4421229002,3.27786300,4.51860000
4421237334,3.45338400,4.46270800
4421245665,3.37574800,4.45369000
4421253997,3.34425400,4.50723300
4421262328,3.42593400,4.49490400
4421270660,3.38468900,4.52183500
4421278991,3.47334300,4.58743300
4421287323,3.45137000,4.52482600
4421295655,3.50105300,4.63632200
4421303986,3.44363400,4.60609400
4421312318,3.52554300,4.59840400
4421320649,3.52298000,4.61839300
4421328981,3.53807100,4.81349200
4421337312,3.48530600,4.73510700
4421345644,3.42219500,4.73834200
4421353975,3.41416900,4.83740200
4421362307,3.42591900,4.82568400
4421370638,3.48927300,4.91293300
4421378970,3.50314300,4.99534600
4421387301,3.44613600,5.03192100
4421395633,3.43406700,4.86644000
4421403964,3.49200400,4.87812800
4421412296,3.45758100,4.87510700
4421420627,3.53762800,4.87439000
4421428959,3.45207200,4.92715500
4421437290,3.49658200,4.77554300
4421445622,3.50083900,4.80397000
4421453953,3.49881000,4.76963800
4421462285,3.36172500,4.87394700
4421470617,3.33206200,4.76098600
4421478948,3.39392100,4.74499500
4421487280,3.47149700,4.68505900
4421495611,3.47590600,4.81936600
4421503943,3.36172500,4.76156600
4421512274,3.31308000,4.71150200
4421520606,3.32673600,4.74835200
4421528937,3.39697300,4.73785400
4421537269,3.45517000,4.73548900
4421545600,3.39028900,4.66827400
4421553932,3.45481900,4.71795700
4421562263,3.38662700,4.67231800
4421570595,3.32191500,4.66375700
4421578926,3.32255600,4.66415400
4421587258,3.28793300,4.69313000
4421595589,3.40725700,4.68318200
4421603921,3.30685400,4.69024700
4421612252,3.41401700,4.60821500
4421620584,3.35772700,4.66230800
4421628916,3.34802200,4.70379600
4421637247,3.42106600,4.86235000
4421645579,3.56976300,4.80647300
4421653910,3.60549900,4.92030300
4421662242,3.44645700,4.97554000
4421670573,3.53872700,4.97279400
4421678905,3.49462900,4.94325300
4421687236,3.46469100,4.88790900
4421695568,3.53344700,4.85974100
4421703899,3.45549000,4.84814500
4421712231,3.44021600,4.91796900
4421720562,3.41004900,4.91423000
4421728894,3.41130100,4.86134300
4421737225,3.44603000,4.77551300
4421745557,3.36709600,4.81829800
4421753888,3.40461700,4.78292800
4421762220,3.50241100,4.78385900
4421770551,3.45156900,4.80682400
4421778883,3.31602500,4.73716700
4421787214,3.29045100,4.74481200
4421795546,3.31242400,4.79840100
4421803878,3.31254600,4.77848800
4421812209,3.34742700,4.72702000
4421820541,3.36163300,4.67559800
4421828872,3.39694200,4.74498000
4421837204,3.49090600,4.73153700
4421845535,3.43373100,4.79991100
4421853867,3.41934200,4.74905400
4421862198,3.38003500,4.79483000
4421870530,3.47129800,4.85250900
4421878861,3.53674300,4.75924700
4421887193,3.41258200,4.76136800
4421895524,3.38865700,4.81274400
4421903856,3.46768200,4.77322400
4421912187,3.56236300,4.84187300
4421920519,3.56652800,4.86842300
4421928850,3.66621400,4.93339500
4421937182,3.70509300,4.99012800
4421945513,3.62210100,5.03541600
4421953845,3.79069500,5.08740200
4421962177,3.57356300,4.99037200
4421970508,3.60360700,4.95816000
4421978840,3.60449200,4.95956400
4421987171,3.51625100,4.96052600
4421995503,3.48484800,4.93020600
4422003834,3.58879100,4.94339000
4422012166,3.58496100,4.85226400
4422020497,3.56210300,4.88858000
4422028829,3.52626000,4.82577500
4422037160,3.56658900,4.80584700
4422045492,3.59991500,4.84582500
4422053823,3.57136500,4.87208600
4422062155,3.62782300,4.85592700
4422070486,3.49110400,4.85108900
4422078818,3.54797400,4.88659700
4422087149,3.68399000,4.79527300
4422095481,3.55017100,4.77781700
4422103812,3.63034100,4.89883400
4422112144,3.63543700,4.84510800
4422120475,3.46870400,4.88197300
4422128807,3.47348000,4.88975500
4422137139,3.44532800,4.86573800
4422145470,3.45954900,4.80287200
4422153802,3.46023600,4.83924900
4422162133,3.51229900,4.93092300
4422170465,3.54570000,4.85514800
4422178796,3.50996400,4.83252000
4422187128,3.45536800,4.83320600
4422195459,3.46699500,4.85911600
4422203791,3.49983200,4.82830800
4422212122,3.52371200,4.80056800
4422220454,3.46527100,4.84352100
4422228785,3.46617100,4.84187300
4422237117,3.50138900,4.90762300
4422245448,3.41394000,4.81059300
4422253780,3.55076600,4.89654500
4422262111,3.53331000,4.87611400
4422270443,3.58065800,4.92927600
4422278774,3.62536600,4.89616400
4422287106,3.51409900,4.86911000
4422295438,3.50912500,4.91766400
4422303769,3.50770600,4.86142000
4422312101,3.60546900,4.88583400
4422320432,3.64013700,4.96601900
4422328764,3.68432600,5.06893900
4422337095,3.64848300,5.08659400
4422345427,3.73053000,5.21402000
4422353758,3.71339400,5.14280700
4422362090,3.65223700,5.26725800
4422370421,3.63243100,5.06091300
4422378753,3.70834400,5.11198400
4422387084,3.68260200,5.06564300
4422395416,3.68574500,5.04286200
4422403747,3.65777600,5.16354400
4422412079,3.64202900,5.07788100
4422420410,3.82742300,5.05235300
4422428742,3.67288200,5.05778500
4422437073,3.83831800,5.05809000
4422445405,3.87448100,5.15010100
4422453736,3.81767300,5.13407900
4422462068,3.88418600,5.10311900
4422470400,3.88789400,5.18287700
4422478731,3.73088100,5.14634700
4422487063,3.71197500,5.12454200
4422495394,3.71157800,5.15257300
4422503726,3.70613100,5.10603300
4422512057,3.68580600,5.15733300
4422520389,3.70874000,5.05621300
4422528720,3.67262300,5.14355500
4422537052,3.79000900,5.12422200
4422545383,3.81356800,5.13194300
4422553715,3.87419100,5.10180700
4422562046,3.80522200,5.16143800
4422570378,3.87544300,5.14389000
4422578709,3.88482700,5.16285700
4422587041,3.75227400,5.13038600
4422595372,3.74575800,5.06370500
4422603704,3.67146300,5.16214000
4422612035,3.68328900,5.28868100
4422620367,3.77017200,5.31500200
4422628699,3.85208100,5.37083400
4422637030,3.84129300,5.39706400
4422645362,3.82759100,5.26792900
4422653693,3.88320900,5.30871600
4422662025,3.76640300,5.17091400
4422670356,3.68072500,5.00766000
4422678688,3.66287200,4.91200300
4422687019,3.72653200,4.88798500
4422695351,3.65481600,4.96806300
4422703682,3.68249500,4.99038700
4422712014,3.62168900,4.99090600
4422720345,3.63284300,4.96087600
4422728677,3.64990200,4.91821300
4422737008,3.59654200,4.91380300
4422745340,3.69125400,4.97027600
4422753671,3.61180100,4.93246500
4422762003,3.59402500,4.98877000
4422770334,3.63052400,4.93266300
4422778666,3.66481000,4.97520400
4422786997,3.71670500,5.16015600
4422795329,3.77311700,5.19218400
4422803661,3.65626500,5.18573000
4422811992,3.80711400,5.61189300
4422820324,4.01879900,5.45401000
4422828655,3.89370700,5.61102300
4422836987,3.92997700,5.65272500
4422845318,3.87843300,5.27398700
4422853650,3.46650700,4.82885700
4422861981,3.37890600,4.10862700
4422870313,3.35224900,3.93681300
4422878644,3.23777800,3.44476300
4422886976,2.53504900,2.18676800
4422895307,2.24632300,1.75183100
4422903639,2.56919900,NaN
4422911970,NaN,NaN
4422920302,2.15367100,NaN
4422928633,2.22709700,2.25236500
4422936965,1.94912700,2.10577400
4422945296,3.24768100,NaN
4422953628,3.54841600,2.33589200
4422961960,3.75799600,3.99639900
4422970291,3.84371900,3.96254000
4422978623,4.13920600,4.31860400
4422986954,4.08239700,4.69058200
4422995286,4.26112400,5.02594000
4423003617,4.08793600,5.16214000
4423011949,3.99099700,5.08219900
4423020280,4.10211200,4.78457600
4423028612,4.19519000,5.29017600
4423036943,4.05712900,5.21617100
4423045275,4.05079700,5.12225300
4423053606,4.05714400,5.28895600
4423061938,4.12921100,5.55133100
4423070269,4.07241800,5.55313100
4423078601,4.15315200,5.28840600
4423086932,4.11106900,5.38130200
4423095264,3.89459200,4.98756400
4423103595,3.82998700,4.96429400
4423111927,3.74449200,4.96775800
4423120258,3.63633700,4.91973900
4423128590,3.65695200,5.07395900
4423136922,3.68187000,5.20048500
4423145253,3.63690200,5.24082900
4423153585,3.71179200,5.27030900
4423161916,3.57977300,5.28947400
4423170248,3.78611800,5.34223900
4423178579,3.92297400,5.41241500
4423186911,4.04957600,5.51277200
4423195242,4.02348300,5.47886700
4423203574,3.93380700,5.50315900
4423211905,4.10574300,5.47413600
4423220237,3.76940900,5.43617200
4423228568,3.86274700,5.27821400
4423236900,3.69575500,5.09037800
4423245231,3.61158800,4.97090100
4423253563,3.65048200,5.02862500
4423261894,3.69969200,4.91606100
4423270226,3.80786100,5.02948000
4423278557,3.91868600,5.23465000
4423286889,3.81553600,5.14601100
4423295221,3.69528200,5.24980200
4423303552,3.71574400,5.25984200
4423311884,3.76062000,5.26078800
4423320215,3.80438200,5.36134300
4423328547,3.60733000,5.16961700
4423336878,3.91194200,5.15466300
4423345210,3.82336400,5.05683900
4423353541,3.83744800,5.04480000
4423361873,3.72558600,4.95170600
4423370204,3.65306100,4.78759800
4423378536,3.67897000,4.79759200
4423386867,3.59820600,4.73355100
4423395199,3.50267000,4.62915000
4423403530,3.46623200,4.77717600
4423411862,3.46861300,4.72403000
4423420193,3.45040900,4.59324600
4423428525,3.35153200,4.57302900
4423436856,3.30862400,4.65719600
4423445188,3.34678600,4.61605800
4423453519,3.21168500,4.63104200
4423461851,3.27993800,4.61814900
4423470183,3.25407400,4.55505400
4423478514,3.35139500,4.50994900
4423486846,3.24423200,4.53465300
4423495177,3.21189900,4.52279700
4423503509,3.27226300,4.58145100
4423511840,3.16886900,4.56169100
4423520172,3.14746100,4.53152500
4423528503,3.29196200,4.41650400
4423536835,3.46231100,4.39730800
4423545166,3.53256200,4.31054700
4423553498,3.50990300,4.25961300
4423561829,3.56945800,4.43032800
4423570161,3.50663800,4.40055800
4423578492,3.54463200,4.41410800
4423586824,3.45466600,4.33090200
4423595155,3.54965200,4.30290200
4423603487,3.44035300,4.29080200
4423611818,3.38884000,4.24221800
4423620150,3.51451100,4.27778600
4423628482,3.44375600,4.23359700
4423636813,3.39363100,4.35414100
4423645145,3.42739900,4.40039100
4423653476,3.41600000,4.43164100
4423661808,3.36978100,4.46931500
4423670139,3.36178600,4.41026300
4423678471,3.31611600,4.34121700
4423686802,3.34173600,4.33387800
4423695134,3.28978000,4.32858300
4423703465,3.28646900,4.35028100
4423711797,3.33042900,4.30694600
4423720128,3.23924300,4.47470100
4423728460,3.31124900,4.36996500
4423736791,3.20307900,4.39988700
4423745123,3.36021400,4.43882800
4423753454,3.27590900,4.40075700
4423761786,3.24749800,4.41946400
4423770117,3.14669800,4.42259200
4423778449,3.20558200,4.40072600
4423786780,3.24276700,4.40800500
4423795112,3.21814000,4.40002400
4423803444,3.31303400,4.41412400
4423811775,3.29727200,4.51934800
4423820107,3.26391600,4.54595900
4423828438,3.35133400,4.43179300
4423836770,3.38914500,4.56790200
4423845101,3.69583100,4.44451900
4423853433,3.53297400,4.32330300
4423861764,3.58247400,4.39045700
4423870096,3.61822500,4.39630100
4423878427,3.59225500,4.44757100
4423886759,3.52885400,4.42341600
4423895090,3.64596600,4.41284200
4423903422,3.50408900,4.43991100
4423911753,3.56820700,4.47264100
4423920085,3.54180900,4.49920700
4423928416,3.57505800,4.43818700
4423936748,3.58519000,4.41816700
4423945079,3.50958300,4.45333900
4423953411,3.52090500,4.49098200
4423961743,3.49800100,4.52758800
4423970074,3.45391800,4.51287800
4423978406,3.45298800,4.55197100
4423986737,3.44151300,4.51709000
4423995069,3.47085600,4.59167500
4424003400,3.45896900,4.57574500
4424011732,3.35974100,4.56211900
4424020063,3.38902300,4.54722600
4424028395,3.40936300,4.45498700
4424036726,3.35800200,4.46981800
4424045058,3.41218600,4.46603400
4424053389,3.47360200,4.37678500
4424061721,3.44288600,4.27053800
4424070052,3.38011200,4.39108300
4424078384,3.27670300,4.29414400
4424086715,3.30336000,4.41398600
4424095047,3.33308400,4.38824500
4424103378,3.38557400,4.38252300
4424111710,3.39157100,4.51464800
4424120041,3.38014200,4.42367600
4424128373,3.39944500,4.44683800
4424136705,3.32136500,4.42219500
4424145036,3.27655000,4.42488100
4424153368,3.26864600,4.48463400
4424161699,3.27449000,4.46853600
4424170031,3.26422100,4.49729900
4424178362,3.29071000,4.49641400
4424186694,3.35655200,4.51712000
4424195025,3.37881500,4.47343400
4424203357,3.28405800,4.50355500
4424211688,3.28968800,4.54524200
4424220020,3.25521900,4.48120100
4424228351,3.28668200,4.50791900
4424236683,3.37286400,4.47634900
4424245014,3.30554200,4.49659700
4424253346,3.31942700,4.51542700
4424261677,3.33715800,4.50389100
